concept,context,layer,condition,probe_score,probe_score_seed_std,prompt
knife,Describe a kitchen.,0,absent,0.01324811867901389,0.016725213625661,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,0,mentioned,0.94929504713832,0.055976623446556496,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,0,suppressed_indirect,0.9957982109939296,0.00207990660827506,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,1,absent,0.003966000951987281,0.005144106178284403,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,1,mentioned,0.9649597234649242,0.044330876459180824,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,1,suppressed_indirect,0.9993353465078627,0.0003563669243318881,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,2,absent,0.0003494028484091059,0.000435989026914283,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,2,mentioned,0.9633888358669377,0.04325100415684153,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,2,suppressed_indirect,0.9997459804435206,0.0001841891376742578,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,3,absent,0.0009014814076667184,0.001093085814578647,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,3,mentioned,0.9572238241823205,0.04415744111365988,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,3,suppressed_indirect,0.9997712725864868,8.056587027898406e-05,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,4,absent,0.0025377302813564084,0.002737253346243031,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,4,mentioned,0.9065987363200642,0.09841345567754263,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,4,suppressed_indirect,0.9989735740407494,0.00036273674194711253,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,5,absent,0.001033517342087035,0.0008431241321071795,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,5,mentioned,0.8589652144717969,0.1347623147718299,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,5,suppressed_indirect,0.9990095871029401,0.0003956706538353986,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,6,absent,0.0024530858348378974,0.00216725247488394,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,6,mentioned,0.7971517273007986,0.25238032513437575,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,6,suppressed_indirect,0.9983286211925616,0.0016295960117431656,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,7,absent,0.006616308735396931,0.007752720179951943,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,7,mentioned,0.7631370339855513,0.2883591539952647,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,7,suppressed_indirect,0.992970885280895,0.008042529302248387,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,8,absent,0.013481445596972147,0.017534754645194984,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,8,mentioned,0.7385283858672534,0.3358255762166622,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,8,suppressed_indirect,0.996680228458208,0.003976538222806481,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,9,absent,0.00830597980068838,0.008573127736042296,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,9,mentioned,0.669599956510409,0.3951103604133679,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,9,suppressed_indirect,0.9523977073018219,0.06146486952004964,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,10,absent,0.014300507375536111,0.012926944835674392,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,10,mentioned,0.6610700769897663,0.36892352606129314,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,10,suppressed_indirect,0.9572961210987359,0.054175524984005,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,11,absent,0.0071607083050088715,0.005283451803046672,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,11,mentioned,0.5935085143206237,0.3646781821032066,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,11,suppressed_indirect,0.8809907392090395,0.14846294377078587,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,12,absent,0.04470769051145284,0.053579789728890895,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,12,mentioned,0.6553125374058615,0.41795997974987864,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,12,suppressed_indirect,0.8324089131549398,0.23236763111819486,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,13,absent,0.03511925766916609,0.038927558208538646,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
knife,Describe a kitchen.,13,mentioned,0.5835879370751652,0.39324921800923296,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a kitchen.

Include knife in the description.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
