concept,context,layer,absent,mentioned,suppressed,suppressed_indirect,delta_suppressed_minus_absent,delta_mentioned_minus_absent,delta_suppressed_indirect_minus_absent,suppressed_fraction_of_mentioned
alcohol,Describe a bar menu.,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
alcohol,Describe a bar menu.,1,7.748589229737537e-05,0.024652519018667888,0.0007011038107201557,0.001491359892252927,0.0006236179184227803,0.02457503312637051,0.0014138739999555517,0.0253760764112094
alcohol,Describe a bar menu.,2,0.214100590561459,0.6089168054732426,0.7110223165005095,0.9604174475949745,0.4969217259390505,0.39481621491178354,0.7463168570335155,1.2586152928143568
alcohol,Describe a bar menu.,3,0.3322591528955453,0.6923398006451705,0.8973451367559386,0.6683435786788586,0.5650859838603933,0.3600806477496252,0.3360844257833133,1.5693317244122333
alcohol,Describe a bar menu.,4,0.32096136228330946,0.32725213221167726,0.3337799230770053,0.38354824208847477,0.012818560793695866,0.006290769928367801,0.06258687980516531,2.0376775720077496
alcohol,Describe a bar menu.,5,0.6305715050590366,0.5730737122097921,0.7821468073528585,0.8379456018365735,0.15157530229382188,-0.0574977928492445,0.20737409677753693,-2.63619340469716
alcohol,Describe a bar menu.,6,0.494882367248092,0.327692814453474,0.23182750193561175,0.2418136988485365,-0.26305486531248023,-0.167189552794618,-0.25306866839955544,1.5733929597600325
alcohol,Describe a bar menu.,7,0.34861303659296716,0.32033354121398805,0.0008096777617423548,0.0004951183081113342,-0.3478033588312248,-0.028279495378979114,-0.34811791828485583,12.298782356977846
alcohol,Describe a bar menu.,8,0.9534448563799809,0.6729108494928459,0.2733640431161021,0.1829458922726647,-0.6800808132638788,-0.28053400688713503,-0.7704989641073162,2.424236622184241
alcohol,Describe a bar menu.,9,0.966208421272308,0.6791310096404809,0.31669873479531513,0.2970042260926706,-0.6495096864769929,-0.2870774116318271,-0.6692041951796375,2.2624896984579905
alcohol,Describe a bar menu.,10,0.9400196474852338,0.7060650004128585,0.026636803731996367,0.0027030350901175097,-0.9133828437532374,-0.23395464707237534,-0.9373166123951163,3.904102163316622
alcohol,Describe a bar menu.,11,0.6533023075663404,0.6378360639131735,0.025324747852543336,0.001258824510704739,-0.6279775597137971,-0.015466243653166956,-0.6520434830556358,40.60310789072619
alcohol,Describe a bar menu.,12,0.49581475850085993,0.3656640583764326,0.00936992404009962,0.0023636841171870617,-0.4864448344607603,-0.1301507001244273,-0.49345107438367286,3.7375506547080186
alcohol,Describe a bar menu.,13,0.8717187027266041,0.48482229259759985,0.32157783224947384,0.3186695916071904,-0.5501408704771302,-0.3868964101290043,-0.5530491111194138,1.4219332515742256
alcohol,Describe a bar menu.,14,0.9185923432030912,0.9276760172216792,0.33424900589448064,0.33452856074065557,-0.5843433373086107,0.009083674018588006,-0.5840637824624357,-64.32896382156201
alcohol,Describe a bar menu.,15,0.858979160272542,0.9235485227096735,0.3284979713108661,0.2798642248010124,-0.5304811889616758,0.06456936243713152,-0.5791149354715295,-8.2156795256912
alcohol,Describe a bar menu.,16,0.896898406632696,0.9697746239329694,0.3316149256903654,0.31735856294837106,-0.5652834809423306,0.07287621730027338,-0.579539843684325,-7.756762108181074
alcohol,Describe a bar menu.,17,0.9490844072571326,0.9981433110207619,0.35295477433373784,0.34637567510594075,-0.5961296329233947,0.049058903763629313,-0.6027087321511919,-12.15130357978659
alcohol,Describe a bar menu.,18,0.9653989030399739,0.9983382240158422,0.36544605835859484,0.35655711394770656,-0.5999528446813791,0.03293932097586827,-0.6088417890922673,-18.2138801562094
alcohol,Describe a bar menu.,19,0.9550685619686062,0.9987242165331066,0.42215057988163357,0.44235022998683543,-0.5329179820869727,0.04365565456450038,-0.5127183319817707,-12.207307103816225
alcohol,Describe a bar menu.,20,0.9889413749385576,0.9996172205910817,0.6607913845421752,0.6968013853858022,-0.3281499903963824,0.010675845652524107,-0.29213998955275544,-30.7376109656285
alcohol,Describe a bar menu.,21,0.9834050032151094,0.9997270225604633,0.6743433715558654,0.7060482727435359,-0.30906163165924394,0.016322019345353933,-0.2773567304715735,-18.935257036514813
alcohol,Describe a bar menu.,22,0.8431568053860405,0.9970960104075077,0.5463799147148949,0.5997683728620115,-0.29677689067114565,0.15393920502146718,-0.24338843252402909,-1.9278837423498414
alcohol,Describe a bar menu.,23,0.9676473951426289,0.9995534896529895,0.6857719974383998,0.7048681150430399,-0.2818753977042291,0.03190609451036064,-0.26277928009958895,-8.834531522267563
alcohol,Describe a bar menu.,24,0.9644952760492232,0.999700464048728,0.7144301299047674,0.7426052718625327,-0.25006514614445585,0.03520518799950478,-0.22189000418669058,-7.103076573486084
alcohol,Describe a bar menu.,25,0.9673875001919782,0.9996028392233439,0.6830079334987769,0.7006709959996466,-0.2843795666932013,0.03221533903136575,-0.2667165041923316,-8.827458448173443
alcohol,Describe a bar menu.,26,0.9718899741356423,0.9994721804186284,0.6587706943975024,0.6617435115340001,-0.3131192797381399,0.027582206282986133,-0.31014646260164214,-11.35222021493201
alcohol,Describe a bar menu.,27,0.9425832643169367,0.9989723353751735,0.5057502804254964,0.5186370577413736,-0.4368329838914403,0.05638907105823676,-0.42394620657556314,-7.746766805934676
alcohol,Describe a bar menu.,28,0.9048655461473142,0.9984541702843647,0.48949108885846404,0.508637984405727,-0.41537445728885014,0.09358862413705049,-0.39622756174158713,-4.438300713562995
alcohol,Describe a bar menu.,29,0.9593846123508278,0.9991256056242867,0.493227583341952,0.5022804053431847,-0.46615702900887585,0.03974099327345881,-0.4571042070076431,-11.729878662096771
alcohol,Describe a bar menu.,30,0.9569244024018883,0.9991206370959237,0.4768964221060134,0.491553540585054,-0.48002798029587485,0.04219623469403544,-0.46537086181683424,-11.376085657323548
alcohol,Describe a bar menu.,31,0.9889685944207066,0.9998631881315512,0.6894465843411228,0.7174523133441237,-0.2995220100795838,0.010894593710844558,-0.2715162810765829,-27.492719602883163
alcohol,Describe a bar menu.,32,0.998279483095736,0.9999868485958708,0.8227295362785768,0.8078421204374493,-0.17554994681715919,0.0017073655001348387,-0.1904373626582867,-102.81919530604031
alcohol,Describe a catered office event.,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
alcohol,Describe a catered office event.,1,3.016972330791368e-08,0.0004433676082019192,1.659940569973178e-05,0.00012602054154639956,1.6569235976423867e-05,0.00044333743847861125,0.00012599037182309166,0.03737387041636739
alcohol,Describe a catered office event.,2,0.000191548541022852,0.27404104389450185,0.29330797144306503,0.6734470542539368,0.29311642290204215,0.27384949535347897,0.6732555057129139,1.0703558994099802
alcohol,Describe a catered office event.,3,0.005848364334416552,0.5436257019676491,0.444646093520596,0.3486853064187696,0.43879772918617943,0.5377773376332325,0.34283694208435306,0.815946858447654
alcohol,Describe a catered office event.,4,0.38055867665199467,0.32606274356326914,0.33518115970763573,0.48960309163160637,-0.04537751694435893,-0.05449593308872552,0.1090444149796117,0.8326771260247846
alcohol,Describe a catered office event.,5,0.6684051387101921,0.6474902651622298,0.7097217940270785,0.7375839973299329,0.04131665531688633,-0.020914873547962287,0.06917885861974071,-1.975467612660358
alcohol,Describe a catered office event.,6,0.37817357316684813,0.20839809360100395,0.10445642283554024,0.16106493606305897,-0.2737171503313079,-0.16977547956584418,-0.21710863710378916,1.6122301702888249
alcohol,Describe a catered office event.,7,0.33347016830742837,0.20500495749507971,0.0004954625389848384,0.0002744463336819294,-0.3329747057684435,-0.12846521081234866,-0.3331957219737464,2.5919445713191984
alcohol,Describe a catered office event.,8,0.5547935920938016,0.48162864307133274,0.24409333056191762,0.09984970608836864,-0.310700261531884,-0.0731649490224689,-0.454943886005433,4.246572514339731
alcohol,Describe a catered office event.,9,0.6257753658662469,0.6844792480528521,0.3234311988767188,0.30047112588324965,-0.30234416698952815,0.05870388218660516,-0.3253042399829973,-5.150326617726075
alcohol,Describe a catered office event.,10,0.7011433684836224,0.7850902768466698,0.14425383882295134,0.008263269926279062,-0.5568895296606711,0.08394690836304741,-0.6928800985573433,-6.633830125729898
