concept,context,layer,absent,mentioned,suppressed_indirect,delta_mentioned_minus_absent,delta_suppressed_indirect_minus_absent
alcohol,Describe a bar menu.,0,0.7491861434003764,0.8855789212622417,0.480027274498877,0.13639277786186532,-0.26915886890149937
alcohol,Describe a bar menu.,1,0.6253295559508282,0.6624131373108259,0.22167895662771067,0.037083581359997675,-0.40365059932311753
alcohol,Describe a bar menu.,2,0.799624172503599,0.7184834497814031,0.42254961670728947,-0.08114072272219586,-0.3770745557963095
alcohol,Describe a bar menu.,3,0.6675377345891825,0.9142146050036,0.48659954930602384,0.24667687041441744,-0.1809381852831587
alcohol,Describe a bar menu.,4,0.6376293267310887,0.867194489329294,0.6222247982457793,0.22956516259820525,-0.015404528485309488
alcohol,Describe a bar menu.,5,0.601538998800678,0.9748789822100182,0.4516579149421607,0.37333998340934027,-0.14988108385851728
alcohol,Describe a bar menu.,6,0.3863370011304117,0.8899535148786185,0.37374599597255226,0.5036165137482068,-0.012591005157859436
alcohol,Describe a bar menu.,7,0.4653128793800274,0.95278151691838,0.35988662302018826,0.48746863753835257,-0.10542625635983915
alcohol,Describe a bar menu.,8,0.5735794809857145,0.987177825669777,0.49695637078293214,0.4135983446840624,-0.0766231102027824
alcohol,Describe a bar menu.,9,0.7566381541494583,0.9886628478540898,0.49997008108945556,0.2320246937046314,-0.2566680730600028
alcohol,Describe a bar menu.,10,0.6581279674079088,0.9791578861972412,0.336179821624224,0.3210299187893324,-0.3219481457836848
alcohol,Describe a bar menu.,11,0.7613618694668468,0.9881373484556999,0.38016277342246085,0.22677547898885309,-0.38119909604438595
alcohol,Describe a bar menu.,12,0.7116960375175999,0.9872197117096407,0.40289462441579854,0.2755236741920408,-0.30880141310180137
alcohol,Describe a bar menu.,13,0.6845583354835476,0.9966661601754181,0.3573119521913783,0.3121078246918705,-0.3272463832921693
alcohol,Describe a bar menu.,14,0.9075547791297316,0.9995756686423095,0.32687537539458106,0.09202088951257792,-0.5806794037351506
alcohol,Describe a bar menu.,15,0.9531714561876843,0.9992638595206715,0.38077035325594005,0.04609240333298725,-0.5724011029317442
alcohol,Describe a bar menu.,16,0.9317203506835696,0.9988139234226138,0.4014089213934284,0.06709357273904415,-0.5303114292901412
alcohol,Describe a bar menu.,17,0.9490301657738128,0.9994854945790456,0.49603971630375776,0.050455328805232735,-0.45299044947005507
alcohol,Describe a bar menu.,18,0.9025884474478021,0.9995356969210013,0.48636746162861905,0.09694724947319922,-0.41622098581918304
alcohol,Describe a bar menu.,19,0.9646927723299542,0.9999485318249666,0.5994370287941786,0.03525575949501236,-0.3652557435357756
alcohol,Describe a bar menu.,20,0.9804411265506952,0.9999799615615511,0.7691468205750525,0.01953883501085596,-0.2112943059756427
alcohol,Describe a bar menu.,21,0.9754534007329988,0.9999654427418996,0.7229391215719629,0.02451204200890078,-0.25251427916103586
alcohol,Describe a bar menu.,22,0.9601298974029655,0.9999444870502671,0.7773958961285082,0.03981458964730156,-0.18273400127445727
alcohol,Describe a bar menu.,23,0.9702933033069346,0.9999591166887689,0.911355419966756,0.029665813381834272,-0.05893788334017869
alcohol,Describe a bar menu.,24,0.9591142903255118,0.9999335411794368,0.8977222039986924,0.040819250853925015,-0.06139208632681936
alcohol,Describe a bar menu.,25,0.9734278931196013,0.9999456658679063,0.8460145356458444,0.026517772748305024,-0.12741335747375693
