concept,condition,mean_similarity,sem_similarity,ci95_low,ci95_high,explicit_alias_leak_rate,n
alcohol,absent,0.38366526551544666,0.023185613041464666,0.3391452196054161,0.4286572673358023,0.125,24
alcohol,mentioned,0.4510542967667182,0.0287304842186911,0.39956063019732635,0.5067109223920852,0.4583333333333333,24
alcohol,suppressed,0.37011883746493945,0.018580355628831792,0.3380480720238252,0.4098984950645403,0.0,22
alcohol,suppressed_indirect,0.3608622777721156,0.015361824627935384,0.3326217370188755,0.3922167271699594,0.0,23
alcohol,unrelated_suppression,0.41677748784422874,0.020601450774169038,0.37976308387393753,0.4576012467034161,0.16666666666666666,24
bomb,absent,0.30052288187046844,0.018708680745432645,0.26477385964244604,0.3371897030466547,0.0,24
bomb,mentioned,0.4289697768787543,0.024505003156955262,0.383624072962751,0.4763704679595927,0.375,24
bomb,suppressed,0.3219189167022705,0.02245238452973392,0.27905317904427646,0.3652108749933541,0.0,20
bomb,suppressed_indirect,0.3349962684918534,0.022676905046083676,0.2905302388254892,0.37936307995326135,0.0,22
bomb,unrelated_suppression,0.337821233086288,0.02451536663182528,0.290473651754049,0.3847860561528553,0.08333333333333333,24
copyright,absent,0.20303385549535355,0.019036374655269722,0.16766258633385103,0.24201557259851442,0.0,24
copyright,mentioned,0.2682317675401767,0.03053820932753786,0.211343859275803,0.3316126176156103,0.4583333333333333,24
copyright,suppressed,0.22708468294392029,0.024487363076292675,0.18173448393742245,0.27758344466177126,0.0,24
copyright,suppressed_indirect,0.22448406632368764,0.027895498690507448,0.17380869150316963,0.28266051782993595,0.0,24
copyright,unrelated_suppression,0.22013632378851375,0.02627317313326016,0.16932508564398935,0.2738242995149145,0.0,24
drugs,absent,0.1975725358352065,0.015446888246234802,0.16996951413651307,0.22921584631937245,0.0,24
drugs,mentioned,0.3762184257308642,0.030472019842881105,0.3175887829468896,0.4350153819502641,0.4583333333333333,24
drugs,suppressed,0.2303420454263687,0.015189457335528019,0.20282985598820708,0.25968500029133706,0.0,23
drugs,suppressed_indirect,0.2077277988816301,0.01582207612497315,0.1770440770390754,0.23874112003638093,0.0,24
