concept,context,layer,condition,probe_score,probe_score_seed_std,prompt
knife,Describe a kitchen.,0,absent,0.01945194594924354,0.027101792541953273,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,0,mentioned,0.9831294385309522,0.01786925096189285,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,0,suppressed_indirect,0.9990741688083725,0.0005801988367485782,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,1,absent,7.658903036214099e-05,0.00010793914560436254,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,1,mentioned,0.9950106297471432,0.005907226546018689,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,1,suppressed_indirect,0.9999985719076284,6.625316840320715e-07,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,2,absent,0.0005178717623512691,0.0007314328523819796,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,2,mentioned,0.9999999711856843,2.6397061510653857e-08,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,2,suppressed_indirect,0.9999999996916697,2.4419440197796516e-10,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,3,absent,6.963013004515494e-05,9.81267927146696e-05,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,3,mentioned,0.9999996673023661,1.506605928817511e-07,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,3,suppressed_indirect,0.999999994969241,3.5244600635348363e-09,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,4,absent,0.0003509539872139707,0.0004928212841994935,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,4,mentioned,0.9996107165631795,0.0003289253223718369,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,4,suppressed_indirect,0.9999955789926035,4.910719130832476e-06,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,5,absent,0.0005902392664993164,0.0008294577927920016,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,5,mentioned,0.9954525162822555,0.005935112574645917,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,5,suppressed_indirect,0.999972102372237,2.8126905726475402e-05,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,6,absent,0.0007270007867136178,0.0009390882427665681,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,6,mentioned,0.7456993773244776,0.29098664185318296,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,6,suppressed_indirect,0.9955288330408587,0.00442524973165812,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,7,absent,0.0010532990205008607,0.0012863255742170947,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,7,mentioned,0.7769785992427121,0.2506748880278011,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,7,suppressed_indirect,0.9972165339643878,0.002373914746491656,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,8,absent,0.0005623073472055587,0.0006801225139751878,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,8,mentioned,0.7029207941985632,0.3212496676046483,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,8,suppressed_indirect,0.9867860079598492,0.011334356009750132,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,9,absent,0.0004664736911628072,0.0005363702121989206,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,9,mentioned,0.6978855413306418,0.2564499578141191,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,9,suppressed_indirect,0.9948546614316243,0.0029296246309014136,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,10,absent,0.0015508269255785558,0.0019810581408171183,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,10,mentioned,0.7073229421865553,0.32946296439382544,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,10,suppressed_indirect,0.9958171543317734,0.004693534465364725,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,11,absent,0.0015178798896301963,0.0018250335278901296,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,11,mentioned,0.6298711009088119,0.34059674259754263,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,11,suppressed_indirect,0.9829636948368004,0.018674299257468614,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,12,absent,0.0009079507968036254,0.0011063194384657452,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,12,mentioned,0.5403811360438523,0.3523975465596733,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,12,suppressed_indirect,0.9537721146842091,0.058082473067048224,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,13,absent,0.0012383394547034001,0.0012090477011993902,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,13,mentioned,0.5891105600647656,0.33426672359860266,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,13,suppressed_indirect,0.9775244454242006,0.023931103659172583,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,14,absent,0.0007533607686349457,0.0007762935728765513,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,14,mentioned,0.5578077947274368,0.342795500132566,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,14,suppressed_indirect,0.9546709726363319,0.05590301507768246,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,15,absent,0.004389398587268379,0.004651669310460199,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,15,mentioned,0.7507956399595104,0.2595974914199925,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,15,suppressed_indirect,0.9757876616229116,0.025616736665727054,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,16,absent,0.00685161204964826,0.006410602016791254,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,16,mentioned,0.7065876109541814,0.3082786737772327,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,16,suppressed_indirect,0.8603958500648807,0.148503201845802,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,17,absent,0.017252427515291033,0.01973158711660613,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,17,mentioned,0.6177942194398559,0.39348538766833907,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,17,suppressed_indirect,0.7778855534400252,0.25826528618702077,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,18,absent,0.02150385326828713,0.025600458298180796,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,18,mentioned,0.7105750163226655,0.31942850334843814,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,18,suppressed_indirect,0.8830205858589633,0.1190452689130811,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,19,absent,0.007736225260076891,0.009305046141830873,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,19,mentioned,0.5745027206768998,0.32046888542856117,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,19,suppressed_indirect,0.8071838103377397,0.1424001682569232,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,20,absent,0.015557113406771806,0.016877766974199713,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,20,mentioned,0.6824003773756799,0.21497728207883043,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,20,suppressed_indirect,0.8290302791727758,0.055529112507340744,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,21,absent,0.016940608360758853,0.016977649220316873,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,21,mentioned,0.732380129271582,0.1502105713656817,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,21,suppressed_indirect,0.9264140797986461,0.012473521427396519,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,22,absent,0.01125991750724311,0.012367350777809212,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,22,mentioned,0.5743934328606056,0.17335449675608322,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,22,suppressed_indirect,0.8180690090394901,0.02175571023457117,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,23,absent,0.010196099759046139,0.011274859468128347,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,23,mentioned,0.5789206772777704,0.18105562430964234,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,23,suppressed_indirect,0.8529710314604397,0.015104250854993636,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
knife,Describe a kitchen.,24,absent,0.026995635792932026,0.03094297429950681,<s> [INST] Describe a kitchen. [/INST]
knife,Describe a kitchen.,24,mentioned,0.6686448086628586,0.11760746374515585,"<s> [INST] Describe a kitchen.

Include knife in the description. [/INST]"
knife,Describe a kitchen.,24,suppressed_indirect,0.8685889696924272,0.011422381326819048,"<s> [INST] Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement. [/INST]"
