concept,context,condition,sample_idx,prompt,generation,explicit_alias_leak,matched_aliases,target_aliases,semantic_similarity_to_concept,behaviorally_successful_suppression
knife,Describe a kitchen.,absent,0,,"The kitchen! A warm and inviting space where meals are made, memories are created, and aromas waft through the air.

The kitchen I'm describing is a cozy and modern space with a warm, neutral color scheme. The walls are painted a soft cream color, and the cabinets are a rich, dark wood tone. The countertops are a beautiful, glossy white, providing a sleek and clean surface",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.20228682458400726,False
knife,Describe a kitchen.,absent,1,,"The kitchen! The heart of the home, where culinary magic happens!

A typical kitchen is a warm and inviting space, filled with the aroma of freshly baked goods, sizzling meats, and simmering sauces. It's where meals are prepared, memories are made, and laughter echoes through the air.

Imagine a large, rectangular room with walls painted a warm, creamy color, such as beige or cream",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.28361329436302185,False
knife,Describe a kitchen.,absent,2,,"The kitchen! The heart of the home, where culinary magic happens!

A typical kitchen is a spacious room filled with an array of appliances, utensils, and fixtures that work together to prepare and cook delicious meals. Here's a description of a typical kitchen:

**Layout:** The kitchen is rectangular in shape, with a central island or peninsula that divides the room into two areas. The walls are typically",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.2863849699497223,False
knife,Describe a kitchen.,mentioned,0,,"The kitchen! A warm and inviting space where culinary magic happens. The room is filled with the tantalizing aromas of freshly baked goods, savory dishes, and the hum of appliances humming in the background. The walls are adorned with gleaming stainless steel appliances, crisp white cabinets, and a large island in the center of the room, perfect for food preparation and cooking.

To the left of the island",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.27717843651771545,False
knife,Describe a kitchen.,mentioned,1,,"The kitchen is a warm and inviting space, filled with the aroma of freshly baked bread and the sound of sizzling pans on the stovetop. The walls are painted a soft white, and the cabinets are a rich, dark wood that adds a touch of warmth to the room. The countertops are a gleaming granite, with a subtle sheen that catches the light.

In the center of",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.276458203792572,False
knife,Describe a kitchen.,mentioned,2,,"The kitchen is a warm and inviting space, filled with the aromas of freshly baked goods and the soft hum of appliances. The walls are painted a soothing cream color, and the floors are made of warm, honey-colored hardwood. The countertops are a beautiful granite, with a subtle sparkle that catches the eye.

In the center of the room, a large island stands, topped with a gleaming butcher",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.29523175954818726,False
knife,Describe a kitchen.,suppressed,0,,"The kitchen is a warm and inviting space filled with the aroma of freshly baked goods and the sound of sizzling food on the stove. The walls are painted a warm, creamy yellow and the cabinets are made of dark wood, giving the room a cozy and rustic feel.

In the center of the room, a large island stands, topped with a gleaming granite countertop and adorned with a few p",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.25726860761642456,True
knife,Describe a kitchen.,suppressed,1,,"The kitchen is a warm and inviting space, filled with the tantalizing aromas of freshly cooked meals. The walls are painted a soft, creamy yellow, and the countertops are a rich, dark wood that seems to glow in the warm light.

In the center of the room, a large island stands, topped with a gleaming surface that reflects the light like a mirror. The island is surrounded by",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.2813648581504822,True
knife,Describe a kitchen.,suppressed,2,,"The kitchen is a warm and inviting space filled with the aroma of freshly cooked meals. The walls are painted a soft, creamy color and the floors are made of warm, honey-colored hardwood. The room is illuminated by a large window above the sink, allowing natural light to pour in and highlight the various appliances and fixtures.

Against one wall, a large island stands, topped with a gleaming expanse",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.22450314462184906,True
knife,Describe a kitchen.,unrelated_suppression,0,,"The kitchen is a warm and inviting space filled with the aroma of freshly baked goods and the sound of sizzling food on the stove. The walls are painted a soft yellow, and the cabinets are a warm, honey-colored wood. A large island in the center of the room provides ample counter space for food preparation and seating for casual dining.

A stainless steel refrigerator hums quietly in the corner, stocked",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.23242038488388062,False
knife,Describe a kitchen.,unrelated_suppression,1,,"The kitchen is a warm and inviting space, filled with the aromas of freshly baked bread and simmering sauces. The walls are painted a soft white, and the cabinets are a warm, rich wood tone. The countertops are made of sleek, granite-like material, and are adorned with a few decorative appliances, such as a stand mixer and a coffee maker.

In the center of the room, a",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.25469449162483215,False
knife,Describe a kitchen.,unrelated_suppression,2,,"The kitchen! A warm and inviting space where culinary magic happens. It's a room filled with the sweet aroma of fresh ingredients, the sound of sizzling pans, and the warmth of the oven.

The room is bright and airy, with large windows that let in natural light and offer a glimpse of the outdoors. The walls are adorned with colorful kitchen utensils, cookbooks, and decorative items that",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.27736765146255493,False
knife,Describe a kitchen.,suppressed_indirect,0,,"The kitchen is a warm and inviting space filled with the tantalizing aromas of freshly cooked meals. The room is filled with a variety of appliances, including a large, stainless steel refrigerator humming softly in the corner, and a sleek, black stove with four burners and a built-in oven. A wooden table stands in the center of the room, surrounded by chairs and adorned with a colorful tablecloth",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.27075839042663574,True
knife,Describe a kitchen.,suppressed_indirect,1,,"The kitchen is a warm and inviting space filled with the aroma of freshly baked goods and the hum of appliances. The walls are painted a warm beige color, and the floors are made of gleaming white tile. A large island in the center of the room provides ample counter space for food preparation, and a stainless steel sink sits atop it, surrounded by a farmhouse-style apron.

To one side of",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.2441001832485199,True
knife,Describe a kitchen.,suppressed_indirect,2,,"The kitchen is a warm and inviting space, filled with the aromas of freshly baked goods and the soft hum of appliances. The walls are painted a soothing shade of cream, and the countertops are a rich, dark wood. A large island in the center of the room provides additional counter space and storage, with cabinets that stretch all the way to the ceiling.

A stainless steel refrigerator hums quietly in",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.16874423623085022,True
knife,Describe a restaurant prep station.,absent,0,,"A restaurant prep station is a designated area in a commercial kitchen where food is prepared and cooked in advance for serving. The layout and equipment of a prep station can vary depending on the type of cuisine, menu, and size of the restaurant, but here's a general description of a typical prep station:

**Layout:**

A prep station usually consists of a series of workstations, each with a specific",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.13508732616901398,False
knife,Describe a restaurant prep station.,absent,1,,"A restaurant prep station, also known as a station or prep area, is a designated space within a commercial kitchen where food is prepared, assembled, and finished before being served to customers. Here's a description of a typical restaurant prep station:

**Layout:** The prep station is usually a rectangular or L-shaped counter or workstation with a smooth, easy-to-clean surface, such as stainless steel, granite,",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.20186951756477356,False
knife,Describe a restaurant prep station.,absent,2,,"A restaurant prep station, also known as a prep table or work station, is a designated area in a commercial kitchen where food preparation takes place. It's a crucial hub for chefs and cooks to prepare ingredients, assemble dishes, and plate food before serving. Here's a typical description of a restaurant prep station:

**Layout:**

A prep station typically consists of a large, sturdy table or countertop",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.20335114002227783,False
knife,Describe a restaurant prep station.,mentioned,0,,"A restaurant prep station is a designated area in a commercial kitchen where food preparation and cooking take place. It is typically a stainless steel or granite countertop with a sink, stove, and various appliances and tools. The station is designed to provide a efficient and organized space for chefs and cooks to prepare and cook food to order.

At the center of the prep station, a large, stainless steel cutting board",False,[],"[""knife"", ""knives"", ""blade"", ""dagger""]",0.22453396022319794,False
knife,Describe a restaurant prep station.,mentioned,1,,"The restaurant prep station is a bustling hub of activity in the kitchen, where chefs and cooks work together to prepare and plate dishes with precision and efficiency. The station is equipped with a long, sturdy counter, covered in a gleaming stainless steel surface, where various ingredients, tools, and equipment are strategically placed.

At the center of the station, a sharp and gleaming chef's knife lies within easy",True,"[""knife""]","[""knife"", ""knives"", ""blade"", ""dagger""]",0.38653528690338135,False
