concept,layer,probe_accuracy_mean,probe_accuracy_std,probe_auc_mean,probe_auc_std,probe_f1_mean,probe_f1_std,n_positive,n_negative
alcohol,0,0.8412698412698413,0.0549857399228215,0.7901234567901234,0.0738325537895413,0.8222222222222223,0.05879447357921304,24,34
alcohol,1,0.7301587301587301,0.054985739922821526,0.7407407407407408,0.07231712662876526,0.6535947712418301,0.059902950260860656,24,34
alcohol,2,0.7777777777777777,0.07273929674533074,0.7962962962962962,0.05155337372990766,0.7485380116959064,0.08830215713766959,24,34
alcohol,3,0.7936507936507936,0.09912695235553008,0.7746913580246914,0.0707187607246271,0.7641325536062378,0.11359689890318492,24,34
alcohol,4,0.8095238095238094,0.0476190476190476,0.8395061728395062,0.056575008579701824,0.7929824561403508,0.05298129428260178,24,34
alcohol,5,0.8095238095238094,0.0476190476190476,0.8240740740740741,0.0667694680641479,0.7929824561403508,0.05298129428260178,24,34
alcohol,6,0.8253968253968255,0.07273929674533083,0.8271604938271605,0.06698313090805787,0.8085769980506822,0.0763854028882713,24,34
alcohol,7,0.8253968253968255,0.07273929674533083,0.867283950617284,0.08089717544494539,0.8085769980506822,0.0763854028882713,24,34
alcohol,8,0.8095238095238096,0.09523809523809523,0.867283950617284,0.0719208654180929,0.7962962962962963,0.0944988949790598,24,34
alcohol,9,0.8095238095238096,0.09523809523809523,0.8672839506172839,0.03854937036048395,0.7962962962962963,0.0944988949790598,24,34
alcohol,10,0.8095238095238096,0.09523809523809523,0.8703703703703703,0.040360175403154404,0.7962962962962963,0.0944988949790598,24,34
alcohol,11,0.8253968253968255,0.09912695235553012,0.8796296296296297,0.042431256434776375,0.8153439153439153,0.1011440395577181,24,34
alcohol,12,0.8253968253968255,0.09912695235553012,0.9012345679012346,0.029764354200595616,0.8153439153439153,0.1011440395577181,24,34
alcohol,13,0.8412698412698413,0.0727392967453308,0.9074074074074074,0.027777777777777762,0.8276246170983012,0.08020630258420144,24,34
alcohol,14,0.8571428571428571,0.04761904761904763,0.9166666666666666,0.024497697324672107,0.8412698412698413,0.05723097262641248,24,34
alcohol,15,0.8412698412698413,0.0549857399228215,0.8981481481481483,0.027777777777777707,0.8222222222222223,0.05879447357921304,24,34
alcohol,16,0.8571428571428571,0.04761904761904763,0.8981481481481483,0.02449769732467213,0.8412698412698413,0.05723097262641248,24,34
alcohol,17,0.8412698412698413,0.0549857399228215,0.8858024691358025,0.04175231252613796,0.8222222222222223,0.05879447357921304,24,34
alcohol,18,0.8253968253968255,0.07273929674533083,0.8919753086419754,0.023301958133551688,0.8085769980506822,0.0763854028882713,24,34
alcohol,19,0.8253968253968255,0.07273929674533083,0.8858024691358025,0.0325174498544838,0.8085769980506822,0.0763854028882713,24,34
alcohol,20,0.8253968253968255,0.07273929674533083,0.8827160493827161,0.037420850780809096,0.8085769980506822,0.0763854028882713,24,34
alcohol,21,0.8253968253968255,0.07273929674533083,0.8827160493827161,0.02828750428985088,0.8085769980506822,0.0763854028882713,24,34
alcohol,22,0.8253968253968255,0.07273929674533083,0.8858024691358025,0.047514828143026676,0.8085769980506822,0.0763854028882713,24,34
alcohol,23,0.8253968253968255,0.07273929674533083,0.8796296296296297,0.04036017540315439,0.8085769980506822,0.0763854028882713,24,34
alcohol,24,0.8412698412698413,0.0549857399228215,0.8734567901234568,0.03505498978889055,0.8222222222222223,0.05879447357921304,24,34
alcohol,25,0.8412698412698413,0.0549857399228215,0.888888888888889,0.04243125643477625,0.8222222222222223,0.05879447357921304,24,34
alcohol,26,0.8412698412698413,0.0549857399228215,0.8796296296296297,0.024497697324672107,0.8222222222222223,0.05879447357921304,24,34
alcohol,27,0.8412698412698413,0.0549857399228215,0.882716049382716,0.026729179129149325,0.8222222222222223,0.05879447357921304,24,34
alcohol,28,0.8412698412698413,0.0549857399228215,0.882716049382716,0.028287504289850857,0.8222222222222223,0.05879447357921304,24,34
alcohol,29,0.8412698412698413,0.0549857399228215,0.882716049382716,0.028287504289850857,0.8222222222222223,0.05879447357921304,24,34
alcohol,30,0.8412698412698413,0.0549857399228215,0.8858024691358025,0.02330195813355167,0.8222222222222223,0.05879447357921304,24,34
alcohol,31,0.8412698412698413,0.0549857399228215,0.8858024691358025,0.019274685180241977,0.8222222222222223,0.05879447357921304,24,34
alcohol,32,0.8412698412698413,0.0549857399228215,0.8919753086419754,0.01927468518024192,0.8222222222222223,0.05879447357921304,24,34
bomb,0,0.873015873015873,0.07273929674533082,0.8518518518518517,0.08486251286955254,0.8184873949579833,0.11456959305649927,24,34
bomb,1,0.7777777777777777,0.027492869961410787,0.7561728395061729,0.0707187607246271,0.7075163398692811,0.041690688961349955,24,34
bomb,2,0.7936507936507936,0.0991269523555301,0.8333333333333334,0.08832770383490239,0.7407407407407408,0.12830005981991682,24,34
bomb,3,0.7936507936507936,0.14547859349066158,0.8179012345679011,0.10731690525131928,0.7464740282077743,0.1695274839460424,24,34
bomb,4,0.7936507936507936,0.09912695235553008,0.8888888888888888,0.06676946806414784,0.7399237472766885,0.13519781365089611,24,34
bomb,5,0.8095238095238094,0.12598815766974233,0.9074074074074074,0.0515533737299075,0.7573529411764706,0.16425226399771078,24,34
bomb,6,0.8095238095238094,0.1428571428571428,0.9228395061728395,0.05265037688034556,0.7598039215686274,0.17667471853862834,24,34
bomb,7,0.8095238095238094,0.1428571428571428,0.9197530864197531,0.04567484131774304,0.7598039215686274,0.17667471853862834,24,34
bomb,8,0.8095238095238094,0.1428571428571428,0.9228395061728395,0.04375755209493157,0.7598039215686274,0.17667471853862834,24,34
bomb,9,0.8253968253968255,0.11983864182969445,0.9166666666666666,0.04899539464934429,0.7720588235294118,0.159238292850792,24,34
bomb,10,0.8253968253968255,0.11983864182969445,0.9166666666666666,0.04899539464934429,0.7720588235294118,0.159238292850792,24,34
bomb,11,0.8253968253968255,0.11983864182969445,0.9228395061728395,0.04660391626710341,0.7720588235294118,0.159238292850792,24,34
bomb,12,0.8412698412698413,0.11983864182969439,0.9259259259259259,0.051553373729907655,0.7965686274509803,0.15980316973238273,24,34
bomb,13,0.8412698412698413,0.11983864182969439,0.9290123456790124,0.05099602358598248,0.7965686274509803,0.15980316973238273,24,34
bomb,14,0.8571428571428571,0.08247860988423232,0.9506172839506174,0.045674841317742985,0.8101851851851851,0.12448453388656257,24,34
bomb,15,0.8888888888888888,0.07273929674533076,0.9598765432098766,0.02138334330331943,0.8600217864923746,0.09880330423230653,24,34
bomb,16,0.9047619047619048,0.047619047619047644,0.9691358024691358,0.014143752144925466,0.8766884531590414,0.07137462389348413,24,34
bomb,17,0.9365079365079364,0.027492869961410732,0.9845679012345679,0.00534583582582982,0.9237472766884531,0.03018824936939222,24,34
bomb,18,0.9365079365079364,0.05498573992282151,0.9845679012345679,0.014143752144925413,0.9212962962962963,0.06851226197661456,24,34
bomb,19,0.9206349206349206,0.07273929674533079,0.9814814814814815,0.01851851851851849,0.9041394335511983,0.08921827986685522,24,34
bomb,20,0.9365079365079364,0.05498573992282151,0.9845679012345679,0.014143752144925413,0.9212962962962963,0.06851226197661456,24,34
bomb,21,0.9206349206349206,0.07273929674533079,0.9814814814814815,0.01851851851851849,0.9041394335511983,0.08921827986685522,24,34
bomb,22,0.9365079365079364,0.07273929674533078,0.9814814814814815,0.01851851851851849,0.9215686274509803,0.089854425391291,24,34
bomb,23,0.9206349206349206,0.09912695235553011,0.9845679012345679,0.019274685180241925,0.8970588235294118,0.13070874143111158,24,34
bomb,24,0.9206349206349206,0.09912695235553011,0.9845679012345679,0.019274685180241925,0.8970588235294118,0.13070874143111158,24,34
bomb,25,0.9206349206349206,0.09912695235553011,0.9845679012345679,0.019274685180241925,0.8970588235294118,0.13070874143111158,24,34
bomb,26,0.9047619047619048,0.08247860988423221,0.9845679012345679,0.019274685180241925,0.8795149638802889,0.1122059689335768,24,34
bomb,27,0.9206349206349206,0.054985739922821526,0.9845679012345679,0.019274685180241925,0.9040247678018575,0.06977973789216495,24,34
bomb,28,0.9206349206349206,0.054985739922821526,0.9845679012345679,0.019274685180241925,0.9040247678018575,0.06977973789216495,24,34
bomb,29,0.9206349206349206,0.054985739922821526,0.9845679012345679,0.019274685180241925,0.9040247678018575,0.06977973789216495,24,34
bomb,30,0.9365079365079364,0.027492869961410676,0.9876543209876543,0.014143752144925399,0.9258112601765852,0.03212524223672509,24,34
bomb,31,0.9365079365079364,0.027492869961410676,0.9876543209876543,0.014143752144925399,0.9258112601765852,0.03212524223672509,24,34
bomb,32,0.9365079365079364,0.027492869961410676,0.9907407407407408,0.009259259259259273,0.9258112601765852,0.03212524223672509,24,34
copyright,0,0.7619047619047619,0.047619047619047644,0.7268518518518517,0.09247677942332493,0.6336996336996337,0.07316844086241095,24,34
copyright,1,0.6349206349206349,0.07273929674533083,0.6820987654320988,0.08286045530036291,0.5643274853801169,0.08959972775464659,24,34
copyright,2,0.6666666666666666,0.04761904761904763,0.7345679012345677,0.10519893189601393,0.6294117647058823,0.0614135676994738,24,34
