concept,context,layer,condition,probe_score,probe_score_seed_std,prompt
knife,Describe a kitchen.,0,absent,0.003134682040983837,0.0037603614656810673,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,0,mentioned,0.9803193163936054,0.011047345057593238,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,0,suppressed_indirect,0.9996441719766668,8.907203059818377e-05,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,1,absent,0.0013700402300620687,0.0017505478004920458,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,1,mentioned,0.9840914385001024,0.017469365968447514,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,1,suppressed_indirect,0.9986076279605278,0.0011792554252298864,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,2,absent,0.0011514991859689408,0.0013933986567035044,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,2,mentioned,0.9780886133951863,0.022004063122045784,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,2,suppressed_indirect,0.9984265165374472,0.00123554452877203,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,3,absent,0.0006040148809782635,0.0007161141269749617,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,3,mentioned,0.979200721448616,0.017796976352159325,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,3,suppressed_indirect,0.9994243074210196,0.00029849579594975383,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,4,absent,0.00016990593298846487,0.00018506490273783728,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,4,mentioned,0.9744180746773937,0.020981190986056126,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,4,suppressed_indirect,0.9995997750940728,0.00021419605766750932,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,5,absent,0.0003787654433304955,0.00040928776156892434,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,5,mentioned,0.9334393766709047,0.05347464205186777,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,5,suppressed_indirect,0.9996102635723076,0.00040106796607757494,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,6,absent,0.0003437965044359519,0.0003439796458256317,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,6,mentioned,0.864895137783786,0.13086213450366474,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,6,suppressed_indirect,0.998996438416642,0.0006105261040443527,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,7,absent,0.00044751285624179026,0.00046429958289826296,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,7,mentioned,0.826581469995543,0.16894576857062257,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,7,suppressed_indirect,0.9911805613162564,0.007473126945205054,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,8,absent,0.0004541137809938235,0.0004915329919401146,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,8,mentioned,0.78621127368329,0.1904651392669218,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,8,suppressed_indirect,0.9959900317424798,0.00308161761429642,"<bos><start_of_turn>user
Describe a kitchen.

Do not mention or allude to a sharp handheld cutting implement.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,9,absent,0.00047650223319085856,0.0005223836322607383,"<bos><start_of_turn>user
Describe a kitchen.<end_of_turn>
<start_of_turn>model
"
knife,Describe a kitchen.,9,mentioned,0.8186885269345253,0.160628178213216,"<bos><start_of_turn>user
Describe a kitchen.

Include knife in the description.<end_of_turn>
<start_of_turn>model
"
